variant,mean_return_mean,mean_return_std,iae_mean_mol_m3_mean,iae_mean_mol_m3_std,settling_time_mean_s_mean,settling_time_mean_s_std,peak_abs_error_mol_m3_mean,peak_abs_error_mol_m3_std,steady_error_std_mol_m3_mean,steady_error_std_mol_m3_std,action_variation_normalized_mean,action_variation_normalized_std
Original MATD3,-4.737893809659725,3.666466054135497,0.8882852901976387,0.4826765960691972,35.58888888888889,47.15513797071362,1.9376680873256127,0.07535769269503564,0.05990030463069743,0.012464812239360055,0.04191563703496937,0.009956276326711323
Residual MATD3,-3.757204719061592,2.6442896327394396,0.7141194427697917,0.37602117715146754,27.905555555555555,36.51340063491657,1.9119938884257353,0.20040587658451475,0.04366681508875872,0.012134893516626041,0.03809553571429417,0.01091444799091184
