episode,reward,length
1,-19.05346,180
2,-26.655947,180
3,-14.148197,180
4,-16.787649,180
5,-24.247507,180
6,-24.339099,180
7,-17.569109,180
8,-21.059747,180
9,-16.315113,180
10,-12.144044,180
11,-23.625366,180
12,-26.955259,180
13,-30.680165,180
14,-29.874128,180
15,-22.510969,180
16,-21.763647,180
17,-21.739788,180
18,-21.523179,180
19,-22.423758,180
20,-17.156413,180
21,-18.92945,180
22,-15.03013,180
23,-22.074486,180
24,-18.189126,180
25,-13.62007,180
26,-8.003197,180
27,-10.121376,180
28,-9.543235,180
29,-11.878648,180
30,-27.797415,180
31,-28.316949,180
32,-38.895355,180
33,-29.51865,180
34,-33.150963,180
35,-52.949156,180
36,-21.211748,180
37,-22.587574,180
38,-17.092924,180
39,-11.670794,180
40,-7.758321,180
41,-8.21037,180
42,-13.661761,180
43,-8.496741,180
44,-21.564548,180
45,-13.088455,180
46,-26.992638,180
47,-32.853299,180
48,-14.368652,180
49,-27.663723,180
50,-27.909152,180
51,-21.932265,180
52,-17.077054,180
53,-22.265711,180
54,-19.62978,180
55,-23.796468,180
56,-20.387652,180
57,-12.102527,180
58,-7.937887,180
59,-19.133947,180
60,-23.806371,180
61,-17.110464,180
62,-6.915385,180
63,-9.071131,180
64,-7.546908,180
65,-13.773496,180
66,-13.518158,180
67,-17.282877,180
68,-9.276571,180
69,-15.101043,180
70,-15.217036,180
71,-5.675666,180
72,-8.171558,180
73,-6.815257,180
74,-6.992809,180
75,-5.497708,180
76,-13.348705,180
77,-8.239192,180
78,-11.749224,180
79,-6.972808,180
80,-7.080841,180
81,-8.660197,180
82,-5.428768,180
83,-6.344778,180
84,-6.529826,180
85,-6.619691,180
86,-6.416109,180
87,-8.315852,180
88,-5.602228,180
89,-6.641057,180
90,-6.037179,180
91,-5.144283,180
92,-4.877277,180
93,-7.183411,180
94,-5.00495,180
95,-5.680721,180
96,-5.403561,180
97,-6.147188,180
98,-5.127185,180
99,-5.860676,180
100,-5.392863,180
101,-7.055586,180
102,-5.429743,180
103,-6.139525,180
104,-5.349046,180
105,-7.166667,180
106,-6.668106,180
107,-4.964576,180
108,-8.563787,180
109,-6.116963,180
110,-6.577013,180
111,-6.43869,180
112,-7.04217,180
113,-5.440073,180
114,-6.682465,180
115,-7.835356,180
116,-5.858426,180
117,-6.101365,180
118,-6.556105,180
119,-6.494435,180
120,-6.269152,180
121,-5.244069,180
122,-5.89602,180
123,-6.081758,180
124,-5.534299,180
125,-5.299182,180
126,-5.753172,180
127,-6.019397,180
128,-5.143854,180
129,-5.638754,180
130,-5.355608,180
131,-4.8512,180
132,-5.585997,180
133,-4.419939,180
134,-6.388012,180
135,-5.368813,180
136,-5.438798,180
137,-6.232554,180
138,-4.662611,180
139,-5.653564,180
140,-5.141689,180
141,-5.061288,180
142,-4.507359,180
143,-3.852693,180
144,-5.818825,180
145,-4.542539,180
146,-4.929037,180
147,-5.174518,180
148,-3.731618,180
149,-4.608533,180
150,-4.435253,180
151,-5.411842,180
152,-5.25201,180
153,-6.678144,180
154,-3.497236,180
155,-6.517017,180
156,-6.051304,180
157,-4.559291,180
158,-4.461183,180
159,-5.538826,180
160,-3.716417,180
161,-4.460914,180
162,-4.082557,180
163,-3.037525,180
164,-4.506269,180
165,-5.791661,180
166,-4.404524,180
167,-3.453836,180
168,-4.750605,180
169,-3.802155,180
170,-3.608782,180
171,-3.998994,180
172,-3.426612,180
173,-4.317548,180
174,-3.708571,180
175,-5.36671,180
176,-3.876332,180
177,-3.215747,180
178,-4.223863,180
179,-5.119259,180
180,-4.738692,180
181,-4.076735,180
182,-3.9059,180
183,-4.030137,180
184,-5.149183,180
185,-4.58318,180
186,-3.188859,180
187,-5.717757,180
188,-4.983048,180
189,-3.782809,180
190,-4.313112,180
191,-4.8207,180
192,-4.00272,180
193,-5.761791,180
194,-4.651561,180
195,-4.485917,180
196,-3.982294,180
197,-3.555117,180
198,-4.103895,180
199,-4.340231,180
200,-4.422228,180
201,-4.761497,180
202,-3.555368,180
203,-4.445998,180
204,-5.005146,180
205,-4.17748,180
206,-3.062973,180
207,-4.643818,180
208,-4.285005,180
209,-4.202959,180
210,-4.048806,180
211,-3.991181,180
212,-3.453479,180
213,-4.083745,180
214,-4.871624,180
215,-4.155317,180
216,-4.373002,180
217,-3.569283,180
218,-3.522758,180
219,-3.478675,180
220,-3.286762,180
221,-3.714225,180
222,-3.752522,180
223,-3.445438,180
224,-4.085101,180
225,-3.686079,180
226,-4.055082,180
227,-4.247163,180
228,-3.479596,180
229,-3.636541,180
230,-2.927126,180
231,-2.870045,180
232,-5.040634,180
233,-4.679543,180
234,-5.037524,180
235,-4.978333,180
236,-3.488768,180
237,-4.800323,180
238,-3.290746,180
239,-3.567836,180
240,-4.150064,180
241,-3.973525,180
242,-4.05736,180
243,-3.954553,180
244,-4.66851,180
245,-4.443001,180
246,-5.214885,180
247,-5.015505,180
248,-3.302553,180
249,-3.748587,180
250,-4.455435,180
251,-4.078,180
252,-5.041592,180
253,-4.134774,180
254,-4.819162,180
255,-3.694919,180
256,-4.754761,180
257,-4.469508,180
258,-3.605382,180
259,-3.468442,180
260,-2.910692,180
261,-3.426241,180
262,-3.985924,180
263,-4.107542,180
264,-3.458378,180
265,-4.598426,180
266,-3.968216,180
267,-4.192402,180
268,-3.660793,180
269,-3.865957,180
270,-3.457232,180
271,-4.795193,180
272,-3.596783,180
273,-3.966743,180
274,-4.444575,180
275,-3.817079,180
276,-4.142605,180
277,-2.982367,180
278,-4.483193,180
279,-4.365306,180
280,-4.376386,180
281,-3.20574,180
282,-4.486052,180
283,-3.860087,180
284,-4.482612,180
285,-3.448375,180
286,-4.68999,180
287,-3.807073,180
288,-4.199213,180
289,-3.841181,180
290,-3.537861,180
291,-4.553935,180
292,-3.784724,180
293,-4.331294,180
294,-4.316125,180
295,-4.873539,180
296,-3.720475,180
297,-4.509438,180
298,-3.479647,180
299,-4.819113,180
300,-4.712616,180
301,-5.035485,180
302,-4.783477,180
303,-4.487996,180
304,-3.801783,180
305,-4.336827,180
306,-4.035326,180
307,-4.421729,180
308,-3.994396,180
309,-4.188892,180
310,-3.74145,180
311,-4.267107,180
312,-5.08997,180
313,-3.364795,180
314,-3.995965,180
315,-4.552731,180
316,-3.915069,180
317,-4.084293,180
318,-4.701507,180
319,-4.033858,180
320,-3.775859,180
321,-3.662201,180
322,-4.115404,180
323,-4.539995,180
324,-3.453073,180
325,-3.692026,180
326,-4.44732,180
327,-3.963412,180
328,-5.06349,180
329,-4.481126,180
330,-3.72348,180
331,-4.555784,180
332,-4.132909,180
333,-4.283707,180
334,-4.43644,180
335,-3.805666,180
336,-3.79697,180
337,-4.585138,180
338,-3.554651,180
339,-4.936609,180
340,-2.958138,180
341,-5.655261,180
342,-4.112952,180
343,-3.935129,180
344,-3.541444,180
345,-4.377442,180
346,-3.244678,180
347,-4.149889,180
348,-3.484046,180
349,-4.522425,180
350,-4.423663,180
351,-3.25641,180
352,-3.659162,180
353,-3.540569,180
354,-3.705638,180
355,-4.251538,180
356,-3.9309,180
357,-4.635414,180
358,-4.106348,180
359,-4.31264,180
360,-4.810606,180
361,-3.997546,180
362,-5.039059,180
363,-4.406085,180
364,-4.756691,180
365,-4.501161,180
366,-3.665383,180
367,-4.693257,180
368,-3.660912,180
369,-3.570681,180
370,-4.05481,180
371,-3.694453,180
372,-4.633268,180
373,-4.571518,180
374,-3.119846,180
375,-3.138919,180
376,-3.578716,180
377,-4.770208,180
378,-3.262797,180
379,-5.120318,180
380,-3.730304,180
381,-4.045152,180
382,-3.325777,180
383,-4.298292,180
384,-3.750073,180
385,-4.598444,180
386,-3.706238,180
387,-4.223332,180
388,-3.466893,180
389,-3.129743,180
390,-3.627734,180
391,-3.559302,180
392,-3.174489,180
393,-3.865652,180
394,-3.706891,180
395,-3.348361,180
396,-3.428178,180
397,-3.48186,180
398,-3.180172,180
399,-3.138417,180
400,-3.343805,180
401,-3.733,180
402,-3.30664,180
403,-3.050194,180
404,-4.14892,180
405,-3.859171,180
406,-3.580665,180
407,-3.882582,180
408,-3.292741,180
409,-3.549363,180
410,-3.259525,180
411,-2.634709,180
412,-3.173877,180
413,-2.779646,180
414,-4.032306,180
415,-3.723279,180
416,-3.771937,180
417,-3.601782,180
418,-2.526887,180
419,-3.456605,180
420,-3.258073,180
421,-4.065054,180
422,-3.444335,180
423,-3.495131,180
424,-3.691853,180
425,-3.221172,180
426,-2.98623,180
427,-3.76306,180
428,-3.66033,180
429,-3.9979,180
430,-3.468914,180
431,-4.421404,180
432,-4.379638,180
433,-4.658504,180
434,-5.088015,180
435,-3.773789,180
436,-4.523887,180
437,-3.367472,180
438,-3.835567,180
439,-4.013787,180
440,-4.507465,180
441,-4.11255,180
442,-3.424545,180
443,-3.898295,180
444,-3.723084,180
445,-4.023399,180
446,-4.335997,180
447,-5.093052,180
448,-3.395913,180
449,-3.735983,180
450,-4.246044,180
451,-4.182115,180
452,-4.540973,180
453,-4.305283,180
454,-4.694905,180
455,-3.953201,180
456,-4.83291,180
457,-4.645607,180
458,-4.423551,180
459,-6.359842,180
460,-6.117242,180
461,-7.032134,180
462,-4.101139,180
463,-6.446284,180
464,-6.040691,180
465,-4.587009,180
466,-4.392084,180
467,-5.601242,180
468,-3.32075,180
469,-6.10779,180
470,-7.029686,180
471,-4.983276,180
472,-5.574142,180
473,-5.999189,180
474,-5.71305,180
475,-4.693398,180
476,-4.529761,180
477,-4.257428,180
478,-4.845099,180
479,-4.644622,180
480,-5.054378,180
481,-5.144552,180
482,-4.394126,180
483,-3.981216,180
484,-4.095191,180
485,-4.416388,180
486,-4.469487,180
487,-4.766697,180
488,-4.443758,180
489,-4.333064,180
490,-4.44308,180
491,-4.684476,180
492,-4.333658,180
493,-4.479919,180
494,-3.936493,180
495,-4.346103,180
496,-4.033742,180
497,-4.670005,180
498,-4.03584,180
499,-3.171356,180
500,-3.983308,180
501,-3.665915,180
502,-4.37297,180
503,-3.456767,180
504,-3.976936,180
505,-4.58905,180
506,-3.844656,180
507,-4.587931,180
508,-4.528066,180
509,-4.181601,180
510,-3.208419,180
511,-3.365914,180
512,-3.269903,180
513,-4.842236,180
514,-3.549651,180
515,-3.863329,180
516,-3.99188,180
517,-4.184589,180
518,-3.372383,180
519,-4.041122,180
520,-3.925545,180
521,-3.661722,180
522,-3.435591,180
523,-3.80668,180
524,-3.472621,180
525,-4.461268,180
526,-4.730738,180
527,-4.846917,180
528,-3.865817,180
529,-3.235794,180
530,-3.570631,180
531,-4.369379,180
532,-3.506384,180
533,-3.855123,180
534,-3.519219,180
535,-5.057302,180
536,-4.570979,180
537,-4.695354,180
538,-3.761944,180
539,-4.460626,180
540,-4.05623,180
541,-4.578076,180
542,-3.948991,180
543,-3.359799,180
544,-3.589713,180
545,-3.710366,180
546,-4.397268,180
547,-3.802243,180
548,-3.764636,180
549,-3.689661,180
550,-3.888663,180
551,-3.897642,180
552,-4.076141,180
553,-3.656402,180
554,-4.743568,180
555,-3.753213,180
556,-4.028409,180
557,-4.143626,180
558,-4.114919,180
559,-3.802518,180
560,-4.188151,180
561,-3.6161,180
562,-4.845316,180
563,-4.027684,180
564,-3.406783,180
565,-3.30543,180
566,-4.684333,180
567,-3.620034,180
568,-3.890713,180
569,-4.101145,180
570,-4.254343,180
571,-4.429284,180
572,-5.332089,180
573,-3.982652,180
574,-4.765886,180
575,-4.019804,180
576,-4.046198,180
577,-4.260346,180
578,-3.896873,180
579,-3.841767,180
580,-4.110653,180
581,-3.63506,180
582,-4.937535,180
583,-3.944661,180
584,-4.340867,180
585,-3.59523,180
586,-3.915215,180
587,-3.316429,180
588,-3.543081,180
589,-4.319112,180
590,-4.066361,180
591,-5.272399,180
592,-3.28588,180
593,-4.250542,180
594,-4.943165,180
595,-5.41858,180
596,-4.130659,180
597,-4.839872,180
598,-3.791852,180
599,-4.014881,180
600,-5.427557,180
601,-4.543541,180
602,-4.3929,180
603,-4.321746,180
604,-4.475779,180
605,-5.113978,180
606,-4.270821,180
607,-4.920531,180
608,-5.799475,180
609,-5.851621,180
610,-5.367102,180
611,-4.717673,180
612,-5.573478,180
613,-4.88388,180
614,-4.184811,180
615,-5.566833,180
616,-4.550081,180
617,-4.251371,180
618,-4.174176,180
619,-4.51997,180
620,-4.931703,180
621,-6.908163,180
622,-4.494383,180
623,-5.335912,180
624,-4.915588,180
625,-5.108792,180
626,-5.581074,180
627,-5.224321,180
628,-4.710865,180
629,-5.094038,180
630,-4.903534,180
631,-4.971932,180
632,-5.732535,180
633,-5.415055,180
634,-5.687366,180
635,-4.282783,180
636,-6.627964,180
637,-4.763627,180
638,-4.754876,180
639,-5.709003,180
640,-5.449519,180
641,-4.866917,180
642,-5.847093,180
643,-6.087174,180
644,-6.092954,180
645,-4.785183,180
646,-4.507409,180
647,-5.646464,180
648,-5.384569,180
649,-5.140023,180
650,-5.182781,180
651,-6.277957,180
652,-5.338584,180
653,-5.843536,180
654,-5.803287,180
655,-5.592688,180
656,-6.37933,180
657,-4.429671,180
658,-4.578386,180
659,-5.114788,180
660,-4.961294,180
661,-4.72697,180
662,-4.233534,180
663,-4.760894,180
664,-4.043211,180
665,-4.139294,180
666,-5.513134,180
667,-5.309918,180
668,-5.820933,180
669,-6.47343,180
670,-5.047234,180
671,-5.637917,180
672,-4.796332,180
673,-4.859323,180
674,-6.235082,180
675,-6.266203,180
676,-6.331561,180
677,-5.476548,180
678,-6.791371,180
679,-5.195422,180
680,-5.875,180
681,-4.99841,180
682,-5.931797,180
683,-7.528863,180
684,-6.363144,180
685,-5.857981,180
686,-5.162783,180
687,-5.899395,180
688,-6.721116,180
689,-6.901394,180
690,-5.773951,180
691,-5.021241,180
692,-6.705345,180
693,-6.828096,180
694,-8.110744,180
695,-5.872348,180
696,-7.068449,180
697,-5.985063,180
698,-5.666377,180
699,-6.507166,180
700,-5.690217,180
701,-7.541548,180
702,-5.899202,180
703,-6.183924,180
704,-8.057109,180
705,-6.651698,180
706,-5.982743,180
707,-7.015175,180
708,-6.374194,180
709,-6.533895,180
710,-6.912042,180
711,-6.701829,180
712,-6.237004,180
713,-5.77901,180
714,-6.605924,180
715,-7.35266,180
716,-6.140282,180
717,-6.554085,180
718,-7.160412,180
719,-6.053242,180
720,-5.427722,180
721,-6.698835,180
722,-6.899287,180
723,-6.37644,180
724,-5.890125,180
725,-5.6162,180
726,-5.053091,180
727,-6.204378,180
728,-6.479865,180
729,-6.491838,180
730,-4.9194,180
731,-4.797013,180
732,-4.668049,180
733,-5.106992,180
734,-4.619714,180
735,-6.966106,180
736,-5.216533,180
737,-4.243933,180
738,-4.460183,180
739,-5.859235,180
740,-6.167381,180
741,-5.950064,180
742,-4.608819,180
743,-4.929101,180
744,-6.400595,180
745,-6.044189,180
746,-5.341208,180
747,-5.218492,180
748,-6.6862,180
749,-5.018933,180
750,-6.606676,180
751,-5.548673,180
752,-5.760707,180
753,-5.64482,180
754,-5.390657,180
755,-4.939034,180
756,-5.672218,180
757,-4.924095,180
758,-5.41837,180
759,-4.370832,180
760,-4.810098,180
761,-5.368126,180
762,-5.905567,180
763,-4.977044,180
764,-5.911891,180
765,-5.344239,180
766,-4.746692,180
767,-4.807508,180
768,-4.63925,180
769,-4.942061,180
770,-5.876082,180
771,-5.554394,180
772,-6.076176,180
773,-4.776657,180
774,-5.340108,180
775,-5.90012,180
776,-4.092747,180
777,-4.921467,180
778,-4.810436,180
779,-4.910404,180
780,-6.581163,180
781,-4.913572,180
782,-5.46281,180
783,-6.133128,180
784,-6.211886,180
785,-4.551079,180
786,-5.176918,180
787,-5.38387,180
788,-5.899941,180
789,-5.284196,180
790,-5.396822,180
791,-4.598046,180
792,-5.586266,180
793,-5.184319,180
794,-5.46206,180
795,-4.418152,180
796,-4.700997,180
797,-4.606159,180
798,-4.101587,180
799,-4.130475,180
800,-4.222616,180
801,-4.015318,180
802,-4.109499,180
803,-4.221955,180
804,-5.19056,180
805,-4.040367,180
806,-3.753095,180
807,-5.283148,180
808,-4.523024,180
809,-4.702263,180
810,-4.591004,180
811,-5.428283,180
812,-5.564157,180
813,-4.980622,180
814,-4.29424,180
815,-4.699392,180
816,-4.076788,180
817,-4.315796,180
818,-4.822875,180
819,-4.427683,180
820,-4.506232,180
821,-4.685855,180
822,-4.746198,180
823,-5.155187,180
824,-4.444482,180
825,-4.522326,180
826,-5.503186,180
827,-4.556341,180
828,-4.849194,180
829,-4.698588,180
830,-5.140526,180
831,-5.275281,180
832,-3.781215,180
833,-4.157054,180
