algorithm,mean_return,iae_mean_mol_m3,settling_time_mean_s,peak_abs_error_mol_m3,steady_error_std_mol_m3,action_variation_normalized
PPO,-4.463700369832077,0.71254344196532,29.216666666666665,2.723659554918861,0.04223311393662927,0.020976776003074404
SAC,-8.433951676655349,1.270768068088297,48.4,2.092626782900687,0.3899780008097934,0.04747476193995069
DDPG,-2.0629217510659825,0.5029678206056689,7.416666666666667,1.9810462158875046,0.07253599535056936,0.045213904503797524
TD3,-2.7341698093162496,0.5916434118390643,7.7,2.018115527201482,0.05062312566049014,0.018535926145979688
Improved DDPG,-4.102918969718555,0.8687267621485747,8.716666666666667,1.5127741654179767,0.0839852698875294,0.024076435527159275
