algorithm,mean_return_mean,mean_return_std,iae_mean_mol_m3_mean,iae_mean_mol_m3_std,settling_time_mean_s_mean,settling_time_mean_s_std,peak_abs_error_mol_m3_mean,peak_abs_error_mol_m3_std,steady_error_std_mol_m3_mean,steady_error_std_mol_m3_std,action_variation_normalized_mean,action_variation_normalized_std
PPO,-2.1853838385662345,0.5061032002794568,0.5687117714722952,0.05688157991706896,6.4944444444444445,1.4607202688070378,2.230505582377796,0.2852576172832079,0.043203971590660424,0.007920657287690815,0.021064289170796776,0.0003823084478513533
SAC,-4.469956267598551,1.6406664793648436,0.8538898422430906,0.3096364193145012,27.083333333333332,16.64582029619848,2.3311033926710203,0.19416578866954817,0.11153409822936466,0.06609455833985392,0.051909238496540826,0.016554773997721803
DDPG,-2.697156362408762,1.0120902297961007,0.6536865225152986,0.18523325567721785,19.77777777777778,16.058420544075013,2.047319456311319,0.20422410831365126,0.05490262025258765,0.019207288214393464,0.05176602087190488,0.019595760456350954
TD3,-2.1824111204358427,0.2542881932048766,0.5404731524171346,0.03179595361688145,8.255555555555556,2.8174226467412327,2.0888871427358797,0.046434446793167605,0.0654223162226714,0.0019067449685323458,0.027415812242119763,0.00204134626456374
Improved DDPG,-2.407086176530679,0.4799421954952631,0.6195272920611393,0.10200796344502684,8.733333333333333,6.712819410981085,1.1928871622925932,0.33980556990528393,0.06883521222017004,0.023284987010580384,0.023059327873604808,0.003035106634792278
